write_turns,n,messages,source_tokens,calls,writer_calls,verify_calls,maintenance_calls,input_tokens,output_tokens,wall_time_hours,calls_per_100_messages,input_tokens_per_1000_source_tokens,output_tokens_per_1000_source_tokens,wall_minutes_per_100_messages,first_pass_source_coverage,post_verify_source_coverage,verify_source_coverage_gain,final_reference_precision,final_source_coverage,gold_question_any_coverage,gold_question_all_coverage,gold_unique_target_coverage,events_per_message,abstract_to_source_byte_ratio
4,18,8496,1587507,9312,2226,2071,5015,22842053,2462872,17.52118861111111,109.6045197740113,14388.631357216063,1551.4085922140816,12.373720770558695,0.831925706303184,0.9216369830591723,0.08971127675598833,1.0,0.9216369830591723,0.99956369982548,0.9984498928758921,0.9983465608465609,6.6821444631088385,2.3550371210071526
8,18,8496,1587507,6779,1254,1203,4322,17006908,2015822,13.775894444444445,79.79048964218455,10712.965675111984,1269.8035347245714,9.728739014438167,0.797916310136791,0.9063907255535096,0.10847441541671865,1.0,0.9063907255535096,0.9991273996509599,0.9951545850537039,0.9961970899470899,5.190587467283107,2.047470818676074
16,18,8496,1587507,5129,717,695,3717,13584040,1627526,10.808706944444445,60.3695856873823,8556.837859612588,1025.2087077411313,7.633267616133082,0.7435082279753407,0.8885283626516943,0.14502013467635372,1.0,0.8885283626516943,0.99956369982548,0.9962222789767164,0.996031746031746,3.7875358720380325,1.7459689757247867
32,18,8496,1587507,4681,522,514,3645,12536536,1502388,9.918335555555556,55.096516007532955,7896.995729782609,946.3819687094293,7.004474262397991,0.7194463934833902,0.8892076972147679,0.16976130373137757,1.0,0.8892076972147679,0.9986910994764399,0.9944770782786362,0.9950396825396824,3.3777744810909893,1.621147522445047
