tier,n,messages,source_tokens,calls,writer_calls,verify_calls,maintenance_calls,input_tokens,output_tokens,wall_time_hours,calls_per_100_messages,input_tokens_per_1000_source_tokens,output_tokens_per_1000_source_tokens,wall_minutes_per_100_messages,first_pass_source_coverage,post_verify_source_coverage,verify_source_coverage_gain,final_reference_precision,final_source_coverage,gold_question_any_coverage,gold_question_all_coverage,gold_unique_target_coverage,events_per_message,abstract_to_source_byte_ratio
luna,24,11328,2116676,8860,1573,1485,5802,24839648,3056998,20.085347777777777,78.21327683615819,11735.215025823509,1444.2446552991578,10.638425729755177,0.8758335919828374,0.946020530725035,0.07018693874219774,1.0,0.946020530725035,0.9993455497382199,0.9973821989528796,0.9988839285714286,5.886305494608286,2.298184948668187
sol,24,11328,2116676,8833,1573,1500,5760,21707348,2602994,18.237109166666666,77.97492937853107,10255.394779361603,1229.7555223378542,9.659485787429377,0.7675805272307561,0.8889545974261258,0.12137407019536973,1.0,0.8889545974261258,0.99967277486911,0.9968394841016472,0.9966517857142857,4.962288323642355,1.9847755230206217
terra,24,11328,2116676,8208,1573,1498,5137,19422541,1948616,13.70166861111111,72.45762711864407,9175.963161107322,920.601924904898,7.257239730461394,0.676183359210436,0.8693476982081972,0.19316433899776123,1.0,0.8693476982081972,0.9986910994764397,0.9940061933341846,0.9936755952380952,3.4299378943900862,1.5442578567009864
